# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
152,0.1.4668,2,Unknown,ms2,1492.94,99,1061,110.0719,19862.93,107038.05,2,504.7486,504.7484,504.75,120,1007.483
153,0.1.4671,2,Unknown,ms2,1493.71,99,2768,138.0555,60109.11,1061965.9,4,665.2764,665.2763,665.53,120,2657.076
154,0.1.4673,2,Unknown,ms2,1494.12,99,909,474.2686,141101.83,1398819,2,431.227,431.2268,431.23,120,860.4394
155,0.1.4688,2,Unknown,ms2,1498.91,99,1061,110.0719,79966.26,683976.06,3,336.8348,336.8346,336.83,120,1007.483
156,0.1.4702,2,Unknown,ms2,1503.32,99,2965,127.0391,7429.26,81347.11,4,713.7968,713.7965,714.05,120,2851.158
157,0.1.4714,2,Unknown,ms2,1507.23,99,2647,786.8776,27665.55,285188.72,4,635.7791,635.7787,636.03,120,2539.087
158,0.1.4723,2,Unknown,ms2,1509.93,99,2632,632.1894,7315.4,62215.69,4,632.77,632.7703,633.02,120,2527.051
159,0.1.4726,2,Unknown,ms2,1510.89,99,2798,749.3607,178788.02,2838470,4,673.2831,673.2837,673.53,120,2689.103
160,0.1.4735,2,Unknown,ms2,1513.54,99,1061,110.0719,32533.53,210131.39,2,504.749,504.7488,504.75,120,1007.483
161,0.1.4737,2,Unknown,ms2,1513.96,99,2768,138.0554,95888.78,2046184.5,4,665.2769,665.2771,665.78,120,2657.078
162,0.1.4738,2,Unknown,ms2,1514.18,99,2642,961.9448,6790.3,50840.16,3,847.3697,847.3706,847.7,120,2539.087
163,0.1.4745,2,Unknown,ms2,1516.32,99,2798,1152.4972,6520.25,105702.23,3,897.373,897.3756,897.71,120,2689.097
164,0.1.4746,2,Unknown,ms2,1516.53,99,1354,208.9538,69662.72,546571.12,3,430.8902,430.8905,430.89,120,1289.649
165,0.1.4749,2,Unknown,ms2,1517.29,99,2803,749.3612,96556.89,1407256,5,538.8274,538.8279,539.03,120,2689.101
166,0.1.4753,2,Unknown,ms2,1518.37,99,2763,138.0553,4438.33,22207.37,3,886.6975,886.699,887.03,120,2657.071
167,0.1.4756,2,Unknown,ms2,1519.18,99,1061,110.0719,175236.86,1692122.2,3,336.8346,336.8344,336.83,112.5148,1007.482
168,0.1.4757,2,Unknown,ms2,1519.4,99,2662,204.0874,10789.26,91623.28,4,640.274,640.2725,640.52,120,2557.067
169,0.1.4760,2,Unknown,ms2,1520.18,99,1005,227.0397,20074.4,215417.53,3,317.4995,317.4995,317.5,120,949.4767
170,0.1.4772,2,Unknown,ms2,1523.89,99,2965,749.3619,32448.78,552713.69,4,713.7958,713.796,714.05,120,2851.154
171,0.1.4773,2,Unknown,ms2,1524.04,99,1076,182.0816,4026.03,15549.11,2,512.2523,512.2526,512.25,120,1022.49
172,0.1.4777,2,Unknown,ms2,1525.11,99,2839,239.0957,32025.39,680118.25,4,682.7703,682.7697,683.02,120,2727.052
173,0.1.4781,2,Unknown,ms2,1526.27,99,2834,127.0396,9312.19,184358.48,3,909.365,909.3677,909.7,120,2725.073
174,0.1.4782,2,Unknown,ms2,1526.42,99,2980,138.0553,10714.61,117197.05,4,716.8046,716.8046,717.31,120,2863.189
175,0.1.4786,2,Unknown,ms2,1527.5,99,2814,204.0877,12951.15,181206.64,4,676.2913,676.2921,676.54,120,2701.136
176,0.1.4788,2,Unknown,ms2,1527.9,99,2647,138.0554,89098.33,1789316.2,4,635.7787,635.7788,636.03,120,2539.086
177,0.1.4791,2,Unknown,ms2,1528.69,99,2859,138.0554,14654.75,186835.55,4,687.5378,687.5385,687.79,120,2746.122
178,0.1.4792,2,Unknown,ms2,1528.9,99,727,327.0785,14129.39,130830.49,2,343.7147,343.7148,343.71,120,685.4148
179,0.1.4797,2,Unknown,ms2,1530.29,99,2632,749.3607,23202.87,194715.58,4,632.7697,632.77,633.27,120,2527.05
180,0.1.4798,2,Unknown,ms2,1530.53,99,2612,629.1929,44444.1,163711,4,628.0333,628.0338,628.28,120,2508.104
181,0.1.4801,2,Unknown,ms2,1531.3,99,2798,749.3614,698392.5,11617979,4,673.2827,673.283,673.53,50.9996,2689.102
182,0.1.4805,2,Unknown,ms2,1532.38,99,2531,204.0874,31212.04,202391.98,3,810.6649,810.665,811,120,2428.973
183,0.1.4806,2,Unknown,ms2,1532.61,99,2682,127.0397,5920.26,34486.87,4,645.2648,645.2655,645.52,120,2577.03
184,0.1.4810,2,Unknown,ms2,1533.73,99,1061,110.072,35410.52,226326.94,2,504.7488,504.749,504.75,120,1007.483
185,0.1.4812,2,Unknown,ms2,1534.15,99,2768,138.0555,50263.01,972767.44,4,665.2765,665.2766,665.53,120,2657.077
186,0.1.4813,2,Unknown,ms2,1534.38,99,2809,127.0396,3119.62,40356.12,3,901.3867,901.3861,901.72,120,2701.138
187,0.1.4817,2,Unknown,ms2,1535.64,99,2642,138.0554,47136.47,1437524,3,847.3684,847.369,847.7,120,2539.083
188,0.1.4818,2,Unknown,ms2,1535.79,99,1187,289.0057,91493.23,640583.88,3,376.5232,376.5233,376.52,120,1126.548
189,0.1.4821,2,Unknown,ms2,1536.55,99,1429,126.0557,33987.32,354811.38,2,683.8228,683.8229,683.82,120,1365.631
190,0.1.4823,2,Unknown,ms2,1536.95,99,1354,208.9538,53785.81,369148.19,3,430.89,430.8903,430.89,120,1289.648
191,0.1.4825,2,Unknown,ms2,1537.38,99,2803,749.3612,110495.91,1465098.4,5,538.8279,538.8282,539.03,120,2689.103
192,0.1.4831,2,Unknown,ms2,1539.12,99,2505,997.466,2319.09,24459.86,3,803.3541,803.355,803.69,120,2407.04
193,0.1.4833,2,Unknown,ms2,1539.56,99,1061,110.072,83455.42,736377.25,3,336.8347,336.8343,336.83,120,1007.482
